case_type,case_label,mashup_id,mashup_name,method,rank,api_id,api_name,api_description,api_group,train_frequency,is_positive,reciprocal_rank_score,seed_appearances,mean_rank_when_present,mashup_slug,mashup_description,api_slug
fusion_beats_graph,Graph+BGE succeeds while Graph-only fails,3781,Anaphonr,BGE-only,7,406,Maluuba Natural Language,maluuba phone assistant app us natural voice recognition technology turn user command action work feature calendar reminder weather search voice call email maluuba api work across two main functionality interpreting meaning phrase finding normalized value date time api us restful call response formatted json,Tail,1,0,0.4285714285714285,3,7.0,anaphonr,fun mashup help find anaphones anaphone word phrase name formed rearranging sound another galaxy lucky gas plus power twilio text anaphone inquiry 785 378 5626,maluuba-natural-language
fusion_beats_graph,Graph+BGE succeeds while Graph-only fails,3781,Anaphonr,BGE-only,8,1507,Shoutcast Radio,shoutcast maintains directory 32000 online radio station shoutcast radio api empowers developer integrate shoutcast radio directory website application internet audio device search popularity keyword genre bitrate playing,Tail,1,0,0.375,3,8.0,anaphonr,fun mashup help find anaphones anaphone word phrase name formed rearranging sound another galaxy lucky gas plus power twilio text anaphone inquiry 785 378 5626,shoutcast-radio
fusion_beats_graph,Graph+BGE succeeds while Graph-only fails,3781,Anaphonr,BGE-only,9,1561,Touchtunes Jukebox,touchtunes interactive music entertainment platform network support portfolio locationbased digital solution featured 60000 bar restaurant north america touchtunes jukebox api provides access touchtunes outofhome digital music network allows developer use music data apps service could used find local touchtunes jukebox view recent activity browse catalog,Tail,1,0,0.3333333333333333,3,9.0,anaphonr,fun mashup help find anaphones anaphone word phrase name formed rearranging sound another galaxy lucky gas plus power twilio text anaphone inquiry 785 378 5626,touchtunes-jukebox
fusion_beats_graph,Graph+BGE succeeds while Graph-only fails,3781,Anaphonr,BGE-only,10,717,Tringme,site create rich webbased standalone mobile voice application recreate lot tringme functionality example social networking dating site easily integrate voice mean communication innovative way voip provider quickly deploy offer service using tringme easy use adobeflash based webphone mobile device enabled via cheap use mobilevoip game developer virtual world creator enable making phone call virtual world real world viceversa,Tail,1,0,0.3,3,10.0,anaphonr,fun mashup help find anaphones anaphone word phrase name formed rearranging sound another galaxy lucky gas plus power twilio text anaphone inquiry 785 378 5626,tringme
fusion_beats_graph,Graph+BGE succeeds while Graph-only fails,3781,Anaphonr,Graph+BGE,1,13,Twilio SMS,twilio provides simple hosted api markup language business quickly build scalable reliable advanced voice sm communication application twilio provides telephony infrastructure web service cloud enabling web programmer integrate realtime phone call application twilios simple payasyougo pricing model mean customer pay capacity need voice application written twilios cloud solution scale transparently eliminating programming operational contractual headache frequently associated rapid growth traffic spike sm api allows user send receive sm message application api implement short code technology allow faster higher volume sm messaging example us api include sending customer automatic sm message multifactor authentication interactive polling api us restful interface,Head,141,1,3.0,3,1.0,anaphonr,fun mashup help find anaphones anaphone word phrase name formed rearranging sound another galaxy lucky gas plus power twilio text anaphone inquiry 785 378 5626,twilio-sms
fusion_beats_graph,Graph+BGE succeeds while Graph-only fails,3781,Anaphonr,Graph+BGE,2,712,Twilio,twilio provides simple hosted api markup language business quickly build scalable reliable advanced voice sm communication application twilio provides telephony infrastructure web service cloud enabling web programmer integrate realtime phone call application twilios simple payasyougo pricing model mean customer pay capacity need voice application written twilios cloud solution scale transparently eliminating programming operational contractual headache frequently associated rapid growth traffic spike twilio provides cloud api voice sm communication leverage existing web development skill resource infrastructure minimizes learning curve required build advanced reliable voice communication application solve critical business need syntax programming model focused making application development close requestresponse model web …,Head,270,0,1.3333333333333333,3,2.333333333333333,anaphonr,fun mashup help find anaphones anaphone word phrase name formed rearranging sound another galaxy lucky gas plus power twilio text anaphone inquiry 785 378 5626,twilio
fusion_beats_graph,Graph+BGE succeeds while Graph-only fails,3781,Anaphonr,Graph+BGE,3,314,411sync,noteas 6252008 appears api longer available site help software developer provide content cell phone using 411syncs sm text message api standard technology xml r developer use 411sync sm text message service offer custom information user user request information sending text message sm custom unique sm id created developer response custom information sent user cell phone text message need send u data web standard r xml format,Head,85,0,0.8111111111111111,3,5.333333333333333,anaphonr,fun mashup help find anaphones anaphone word phrase name formed rearranging sound another galaxy lucky gas plus power twilio text anaphone inquiry 785 378 5626,411sync
fusion_beats_graph,Graph+BGE succeeds while Graph-only fails,3781,Anaphonr,Graph+BGE,4,1079,Twitter,api longer available ha split multiple apis including twitter ad api twitter search tweet api twitter direct message apithis profile maintained historical research reference purpose onlythe twitter microblogging service includes two restful apis twitter rest api method allow developer access core twitter data includes update timeline status data user information search api method give developer method interact twitter search trend data api presently support following data format xml json r atom syndication format method accepting subset format,Head,629,0,0.8095238095238095,3,4.333333333333333,anaphonr,fun mashup help find anaphones anaphone word phrase name formed rearranging sound another galaxy lucky gas plus power twilio text anaphone inquiry 785 378 5626,twitter
fusion_beats_graph,Graph+BGE succeeds while Graph-only fails,3781,Anaphonr,Graph+BGE,5,1401,Last Fm,lastfm api give user ability build program using lastfm data whether web desktop mobile device restful api allows read write access full slate lastfm music data resource album artist playlist event user allows user call method respond either xml json,Head,178,0,0.6666666666666666,3,4.666666666666667,anaphonr,fun mashup help find anaphones anaphone word phrase name formed rearranging sound another galaxy lucky gas plus power twilio text anaphone inquiry 785 378 5626,last.fm
fusion_beats_graph,Graph+BGE succeeds while Graph-only fails,3781,Anaphonr,Graph+BGE,6,284,Lyricwiki,wikia collaborative publishing platform enables people around world discover create share content topic wikia also provides lyricwiki api service provides user lyric many popular song variety artist free api used via soap rest though soap functionality currently robust lyric returned xml json html plain text authentication optional using api via soap available using rest used want associate webservice change make useraccount please note due licensing restriction api directly return small portion lyric directly useful determining correct match response also contain url corresponding page full lyric,Head,19,0,0.5178571428571428,3,6.333333333333333,anaphonr,fun mashup help find anaphones anaphone word phrase name formed rearranging sound another galaxy lucky gas plus power twilio text anaphone inquiry 785 378 5626,lyricwiki
fusion_beats_graph,Graph+BGE succeeds while Graph-only fails,3781,Anaphonr,Graph+BGE,7,1069,Youtube,data api allows user integrate program youtube allow perform many operation available website provides capability search video retrieve standard feed see related content program also authenticate user upload video modify user playlist integration used variety us developing web application allowing user upload video youtube device desktop application brings youtube experience new platform data api give user programmatic access video user information stored youtube used personalize web site application user existing information well perform action like commenting rating video restful api provides response xml format,Head,513,0,0.3666666666666667,2,5.5,anaphonr,fun mashup help find anaphones anaphone word phrase name formed rearranging sound another galaxy lucky gas plus power twilio text anaphone inquiry 785 378 5626,youtube
fusion_beats_graph,Graph+BGE succeeds while Graph-only fails,3781,Anaphonr,Graph+BGE,8,262,Lyricsfly,site api available anyone wish use database music project website program currently use web search lyric use code trick access lyric website display relevant lyric text content reliable source without hassle,Head,18,0,0.3111111111111111,2,7.0,anaphonr,fun mashup help find anaphones anaphone word phrase name formed rearranging sound another galaxy lucky gas plus power twilio text anaphone inquiry 785 378 5626,lyricsfly
fusion_beats_graph,Graph+BGE succeeds while Graph-only fails,3781,Anaphonr,Graph+BGE,9,90,Flickr,flickr api used retrieve photo flickr photo sharing service using variety feed public photo video favorite friend group pool discussion api also used upload photo videothe flickr api support many protocol including rest soap xmlrpc response formatted xml xmlrpc json php documentation included 14 api kit library,Head,458,0,0.2916666666666666,2,7.0,anaphonr,fun mashup help find anaphones anaphone word phrase name formed rearranging sound another galaxy lucky gas plus power twilio text anaphone inquiry 785 378 5626,flickr
fusion_beats_graph,Graph+BGE succeeds while Graph-only fails,3781,Anaphonr,Graph+BGE,10,1171,Trynt,trynt offer variety apis point trynt term extraction web service provides list significant word phrase extracted larger content list word phrase returned context supplied query time query,Head,14,0,0.2111111111111111,2,9.5,anaphonr,fun mashup help find anaphones anaphone word phrase name formed rearranging sound another galaxy lucky gas plus power twilio text anaphone inquiry 785 378 5626,trynt
middle_success,Graph+BGE retrieves a Middle positive API,8128,30 Boxes Evoketv,Popularity,1,624,Google Maps,api longer available google map service split multiple apis including static map api street view image api direction apis distance matrix api elevation api geocoding api geolocation api place api road api time zone apithis page maintained purely historical research purposesthe google map api allow embedding google map onto web page outside developer using simple javascript interface flash interface designed work mobile device well traditional desktop browser application api includes language localization 50 language region localization geocoding ha mechanism enterprise developer want utilize google map api within intranet api http service accessed secure http connection google map api premier customer,Head,1898,0,3.0,3,1.0,30-boxes-evoketv,mashup technique adding evoketv listing automoatically 30 box calendar,google-maps
middle_success,Graph+BGE retrieves a Middle positive API,8128,30 Boxes Evoketv,Popularity,2,1079,Twitter,api longer available ha split multiple apis including twitter ad api twitter search tweet api twitter direct message apithis profile maintained historical research reference purpose onlythe twitter microblogging service includes two restful apis twitter rest api method allow developer access core twitter data includes update timeline status data user information search api method give developer method interact twitter search trend data api presently support following data format xml json r atom syndication format method accepting subset format,Head,629,0,1.5,3,2.0,30-boxes-evoketv,mashup technique adding evoketv listing automoatically 30 box calendar,twitter
middle_success,Graph+BGE retrieves a Middle positive API,8128,30 Boxes Evoketv,Popularity,3,1069,Youtube,data api allows user integrate program youtube allow perform many operation available website provides capability search video retrieve standard feed see related content program also authenticate user upload video modify user playlist integration used variety us developing web application allowing user upload video youtube device desktop application brings youtube experience new platform data api give user programmatic access video user information stored youtube used personalize web site application user existing information well perform action like commenting rating video restful api provides response xml format,Head,513,0,1.0,3,3.0,30-boxes-evoketv,mashup technique adding evoketv listing automoatically 30 box calendar,youtube
middle_success,Graph+BGE retrieves a Middle positive API,8128,30 Boxes Evoketv,Popularity,4,90,Flickr,flickr api used retrieve photo flickr photo sharing service using variety feed public photo video favorite friend group pool discussion api also used upload photo videothe flickr api support many protocol including rest soap xmlrpc response formatted xml xmlrpc json php documentation included 14 api kit library,Head,458,0,0.75,3,4.0,30-boxes-evoketv,mashup technique adding evoketv listing automoatically 30 box calendar,flickr
middle_success,Graph+BGE retrieves a Middle positive API,8128,30 Boxes Evoketv,Popularity,5,867,Facebook,api longer available function split among following apis facebook ad facebook atlas facebook graph facebook marketing profile maintained purely historical research purposesthe facebook api platform building application available member social network facebook api allows application use social connection profile information make application involving publish activity news feed profile page facebook subject individual user privacy setting api user add social context application utilizing profile friend page group photo event data api us restful protocol response json format,Head,354,0,0.6000000000000001,3,5.0,30-boxes-evoketv,mashup technique adding evoketv listing automoatically 30 box calendar,facebook
middle_success,Graph+BGE retrieves a Middle positive API,8128,30 Boxes Evoketv,Popularity,6,96,Amazon Product Advertising,wa formerly ec ecommerce service ha renamed product advertising api api developer retrieve product information api expose amazon product data ecommerce functionality allows developer web site publisher others leverage amazon product discovery feature amazon us power business potentially make money amazon affiliate additionally api ha feature allowing developer advertise proucts let user search amazon product help user discover amazon product rest soap apis provided profile rest api,Head,322,0,0.5,3,6.0,30-boxes-evoketv,mashup technique adding evoketv listing automoatically 30 box calendar,amazon-product-advertising
middle_success,Graph+BGE retrieves a Middle positive API,8128,30 Boxes Evoketv,Popularity,7,712,Twilio,twilio provides simple hosted api markup language business quickly build scalable reliable advanced voice sm communication application twilio provides telephony infrastructure web service cloud enabling web programmer integrate realtime phone call application twilios simple payasyougo pricing model mean customer pay capacity need voice application written twilios cloud solution scale transparently eliminating programming operational contractual headache frequently associated rapid growth traffic spike twilio provides cloud api voice sm communication leverage existing web development skill resource infrastructure minimizes learning curve required build advanced reliable voice communication application solve critical business need syntax programming model focused making application development close requestresponse model web …,Head,270,0,0.4285714285714285,3,7.0,30-boxes-evoketv,mashup technique adding evoketv listing automoatically 30 box calendar,twilio
middle_success,Graph+BGE retrieves a Middle positive API,8128,30 Boxes Evoketv,Popularity,8,1401,Last Fm,lastfm api give user ability build program using lastfm data whether web desktop mobile device restful api allows read write access full slate lastfm music data resource album artist playlist event user allows user call method respond either xml json,Head,178,0,0.375,3,8.0,30-boxes-evoketv,mashup technique adding evoketv listing automoatically 30 box calendar,last.fm
middle_success,Graph+BGE retrieves a Middle positive API,8128,30 Boxes Evoketv,Popularity,9,634,Ebay,ebays primary web service found three following apis trading api designed provide robust support transactional activity service offered trading api allow developer list item manage user information get item information manage ebay sale purchase shopping api lightweight service optimized buyer shopping browsing shopping api let user take search ebay put site application api designed creation buying application fast response time finding api ebays next generation search api finding api provides relevant search result compared existing search apis ha array search refinement capability developer leverage finding api integrate robust searching browsing experience buying application note october 2011 ebay ha deprecated getsearchresults …,Head,164,0,0.3333333333333333,3,9.0,30-boxes-evoketv,mashup technique adding evoketv listing automoatically 30 box calendar,ebay
middle_success,Graph+BGE retrieves a Middle positive API,8128,30 Boxes Evoketv,Popularity,10,13,Twilio SMS,twilio provides simple hosted api markup language business quickly build scalable reliable advanced voice sm communication application twilio provides telephony infrastructure web service cloud enabling web programmer integrate realtime phone call application twilios simple payasyougo pricing model mean customer pay capacity need voice application written twilios cloud solution scale transparently eliminating programming operational contractual headache frequently associated rapid growth traffic spike sm api allows user send receive sm message application api implement short code technology allow faster higher volume sm messaging example us api include sending customer automatic sm message multifactor authentication interactive polling api us restful interface,Head,141,0,0.3,3,10.0,30-boxes-evoketv,mashup technique adding evoketv listing automoatically 30 box calendar,twilio-sms
