api_id,api_slug,api_name,api_description,description_found
511,wookmark,Wookmark,wookmark social site collecting sharing image video user organize image group follow user inspiration wookmark plus upgrade allows user private image video group also enables upload image group multiple member sync dropbox archive old group wookmarks r api allows user follow popular image new image particular user image particular group image wookmarks jsonjsonp api allows user access popular image new image image user image group image matching color source image api also enables user search wookmarks image,True
518,metro-realtime,Metro Realtime,metro realtime provides current uptotheminute location information bus rail line los angeles county information accessed api us restful protocol return response xml json jsonp,True
524,wishpot-shopping,Wishpot Shopping,wishpot web service allow create wishlists track price collect donation item desired 3 shopping apis wishlist registry management price alert chip automatically become wishpot publisher start accruing revenue immediately send email doc main wishpot site tagging item toolbar widget shop running list thing want plus price drop alert also ha social feature like facebook integration friend management one place,True
542,interfax,Interfax,mutltiple method give developer control outbound fax transmission inbound fax reception administrative control add user set preference etc secure access accessible via ssl interfax rest fax api commercial subscriptionbased service enables transmission reception fax message without need install hardware software original document transmitted may various format pdf microsoft word html txt etc received fax tif pdf format extension sending capability interfax fax rest api provides facility retrieving status information regarding fax message sent support secure communication via http customprogrammed application interfax server,True
547,docusign-enterprise,Docusign Enterprise,docusign cloud based legally compliant esignature service docusign service provides intuitive web mobile api interface docusign api allows application connect docusign service embed part docusign user experience connecting docusign web service application create electronic signature transaction retrieve electronically signed document get date status outstanding envelope createreadupdatedelete operation embedding docusign interface application provide singlesignon capability insert signing sending user experience application,True
557,constantcontact,Constantcontact,integrate software email marketing constant contact api allows seamlessly integrate industryleading email marketing service today 300000 small business organization rely constant contactï¿½s email marketing help drive success api allows manage email contact contact list reporting data also view email marketing campaign result including email contact mailed opened email clicked url link email,True
564,issuu-search,Issuu Search,issuu turn document online publication feature benefit upload document turn professional online publication explore living library web publication post embed publication anywhere online facebook myspace blogger etc create custom viewer design integrate publication website,True
570,facebook-graph,Facebook Graph,graph api simple consistent view facebook social graph uniformly represents object graph may include people photo event page etc connection friend relationship shared content public information accessed without developer keyapplication key required private data access facebook developer enables build grow monetize amazing application,True
608,trimet,Trimet,obtain next arrival time detour route information transit agency serf metropolitan portland oregon usa trimet tricounty metropolitan transportation district oregon,True
624,google-maps,Google Maps,api longer available google map service split multiple apis including static map api street view image api direction apis distance matrix api elevation api geocoding api geolocation api place api road api time zone apithis page maintained purely historical research purposesthe google map api allow embedding google map onto web page outside developer using simple javascript interface flash interface designed work mobile device well traditional desktop browser application api includes language localization 50 language region localization geocoding ha mechanism enterprise developer want utilize google map api within intranet api http service accessed secure http connection google map api premier customer,True
634,ebay,Ebay,ebays primary web service found three following apis trading api designed provide robust support transactional activity service offered trading api allow developer list item manage user information get item information manage ebay sale purchase shopping api lightweight service optimized buyer shopping browsing shopping api let user take search ebay put site application api designed creation buying application fast response time finding api ebays next generation search api finding api provides relevant search result compared existing search apis ha array search refinement capability developer leverage finding api integrate robust searching browsing experience buying application note october 2011 ebay ha deprecated getsearchresults …,True
639,backtweets,Backtweets,backtweets search engine link twitter enter url see conversation tweet reference link part service backtype conversational search engine,True
643,hp-labs-multimedia-analytic-platform,Hp Labs Multimedia Analytic Platform,hp lab multimedia analytic platform offer developer set tool analysis understanding composition publishing multimedia content technology include face detection face verification image feature extraction integrated mobile apps cloud service industry standard api data format apis use restful call response formatted xml json,True
690,mailjet,Mailjet,mailjet cloud hosted email platform user create send email newsletter html email well track transactional email email analytics mailjet api allows developer access integrate functionality data mailjet application example api method include adding managing contact creating email campaign retrieving email campaign statistic,True
712,twilio,Twilio,twilio provides simple hosted api markup language business quickly build scalable reliable advanced voice sm communication application twilio provides telephony infrastructure web service cloud enabling web programmer integrate realtime phone call application twilios simple payasyougo pricing model mean customer pay capacity need voice application written twilios cloud solution scale transparently eliminating programming operational contractual headache frequently associated rapid growth traffic spike twilio provides cloud api voice sm communication leverage existing web development skill resource infrastructure minimizes learning curve required build advanced reliable voice communication application solve critical business need syntax programming model focused making application development close requestresponse model web …,True
717,tringme,Tringme,site create rich webbased standalone mobile voice application recreate lot tringme functionality example social networking dating site easily integrate voice mean communication innovative way voip provider quickly deploy offer service using tringme easy use adobeflash based webphone mobile device enabled via cheap use mobilevoip game developer virtual world creator enable making phone call virtual world real world viceversa,True
723,plum-fuse,Plum Fuse,plum fuse cloudbased visual voice application editor programmable platform offer api connectivity automate customer interaction phone fuse api us rest soap csv uploading downloading data fuse platform contains prebuilt module allow user rapidly piece together component test deploy voice application fuse also offer optimized prebuilt application common task vertical accelerate process even make fuse accessible developer nondevelopers alike developer use fuse build manage advanced voice application including ivr outbound calling messaging notification voice smsmms automated phone survey call routing system granular sharing permission simplify application management make fuse ideal product ongoing team collaboration fuse support speech recognition texttospeech offer diverse …,True
735,box,Box,box modern content management platform transforms organization work collaborate achieve result fasterbox platform provides content apis build secure content experience custom apps box platform organization bring content management collaboration service custom apps build custom integration box,True
744,google-civic-information,Google Civic Information,google civic information api allows developer access civic information including polling place early vote location candidate data election official information use third party application api data available currently focus election related information api us restful call response formatted json,True
770,opensecrets,Opensecrets,opensecrets api provides access data displayed opensecretsorg opensecrets performs research track money u politics effect election public policy use api access politician top contributor personal financial disclosure politician,True
794,transparency-data,Transparency Data,transparency data resource federal lobbyist registration federal state campaign contribution see candidate ha received individual ha given much organization ha spent lobbying many query transparency data api give developer access search state federal campaign contribution data api feature restful interface return data via json csv,True
867,facebook,Facebook,api longer available function split among following apis facebook ad facebook atlas facebook graph facebook marketing profile maintained purely historical research purposesthe facebook api platform building application available member social network facebook api allows application use social connection profile information make application involving publish activity news feed profile page facebook subject individual user privacy setting api user add social context application utilizing profile friend page group photo event data api us restful protocol response json format,True
909,enthusem,Enthusem,enthusem specializes offline online marketing enthusem api enables web application send personal one time printed mail drive recipient online experience using unique trackable code,True
931,nabaztag,Nabaztag,nabaztag wifi enabled ambient electronic device shape rabbit nabaztag api allows activate thirdparty application event nabaztag example controlling movement ear commanding led sending message tt text speach nabcast nabaztag api user send text message rabbit send choregraphies rabbit send nabcast rabbit get ear position rabbit stream mp3 nabaztagtag webradio podcast personal music retrieve information status rabbit account,True
957,newscloud,Newscloud,site newscloud open community sharing discussing news newscloud reader submit story video around web read vote talk,True
976,amazon-s3,Amazon S3,since 2006 amazon web service ha offering web service commonly known cloud computing aws provides reliable low cost infrastructure platform power hundred thousand business amazon s3 api simple storage service provides simple web service interface used store object using amazon online storage infrastructure user download data use data aws service amazon elastic cloud computer ec2 using web service developer build application make use internet storage api us bucket object key operation object ha four part value key metadata access control policy object stored bucket api rest based response formatted json,True
1010,cheezburger,Cheezburger,cheezburger api allows user integrate feature cheezburgercom funny photo site website web app feature include database searching site photo photo uploading caption uploading,True
1024,vodpod,Vodpod,programmatically thing site use api create video widget get video list complete metadata player upload video get thumbnail retrieve activity list,True
1056,technorati,Technorati,site technorati recognized authority happening world live web right live web dynamic alwaysupdating portion web search surface organize blog form independent usergenerated content photo video voting etc increasingly referred citizen medium,True
1069,youtube,Youtube,data api allows user integrate program youtube allow perform many operation available website provides capability search video retrieve standard feed see related content program also authenticate user upload video modify user playlist integration used variety us developing web application allowing user upload video youtube device desktop application brings youtube experience new platform data api give user programmatic access video user information stored youtube used personalize web site application user existing information well perform action like commenting rating video restful api provides response xml format,True
1079,twitter,Twitter,api longer available ha split multiple apis including twitter ad api twitter search tweet api twitter direct message apithis profile maintained historical research reference purpose onlythe twitter microblogging service includes two restful apis twitter rest api method allow developer access core twitter data includes update timeline status data user information search api method give developer method interact twitter search trend data api presently support following data format xml json r atom syndication format method accepting subset format,True
1096,endicia-label-server,Endicia Label Server,endicia internet postage provides technology solution mailing industry solution include windowsbased presort mail software wysiwyg mailpiece design software internet address verification internet move updating internet postage electronic delivery confirmation internet postage international mail endicia label server api allows partner embed webbased ondemand u postal service application website customer print postal shipping label within application system produce integrated label image complete stealth postage verified deliveryreturn address service barcodes delivery confirmation signature confirmation certified mail express mail confirm service custom number full documentation publicly available,True
1112,pinboard,Pinboard,pinboard social bookmarking tool api patterned yahoo popular delicious service create tag search bookmark write application based aggregated knowledge public bookmark particular user public bookmark api us restful protocol response formatted xml json,True
1123,doodle,Doodle,doodle api allows create conduct poll use doodle service schedule event reach consensus topic doodle poll also integrated facebook igoogle page,True
1126,bebo,Bebo,site allows user share photo music blog draw member white board,True
1135,theyworkforyou,Theyworkforyou,site theyworkforyoucom nonpartisan website run charity aim make easy people keep tab elected unelected representative parliament assembly,True
1171,trynt,Trynt,trynt offer variety apis point trynt term extraction web service provides list significant word phrase extracted larger content list word phrase returned context supplied query time query,True
1264,friendfeed,Friendfeed,friendfeed api enables developer interact friendfeed web site programmatically via simple http request friendfeed service make easy share friend online offer fun interactive way discover discus information among friend api us restful call support method downloading reading feed designed make possible anyone improve friendfeed integrate friendfeed application user develop friendfeed interface mobile phone build friendfeed widget blog develop application make easy post photo feed iphone api support xml json output format,True
1288,cnet,Cnet,site service make wealth data available mashup community creation rich consumer site initial dataset include full cnet catalog technology product software title dataset drive highly trafficked site cnet review shoppercom downloadcom time api add news article community content blog post full product review api designed easy data discovery integration interface restbased supporting xml json response format ha undergone extensive performance optimization order ensure rapid response time simplify query creation tool called dashboard available allows user interactively select data set include response stream,True
1364,eduroam,Eduroam,service register uniform resource name urn european educational institution federation cooperating delivery sharing internet resource registry intended facilitate single signon function ease interaction local network gã‰ant federation partner institution api method support retrieval registry listing urn description supported resource within federation network returned data become part authentication request fulfill resource sharing agreement,True
1376,peekyou-social-analytics,Peekyou Social Analytics,service aggregate standardized information 60 social site range blog define digital footprint fan follower specified create picture user social audience api support awareness audience message enable audience measurement social analytics platform including audience type age range gender location social affiliation social activity interest work school related tag proprietary score sociability network reach api work within privacy setting social platform tos called publicly viewable url search retrieves result social url twitter facebook flickr linkedin myspace youtube google using blog url blogspot typepad blogger livejournal posterous tumblr,True
1381,zazzle,Zazzle,site zazzle provides simple url linkoverbased api allows third party automatically generate customized product dynamic image text zazzle createaproduct api used automatically generate 200 different type customized product tshirts mug card postage poster detailed documentation requires registration,True
1401,last.fm,Last Fm,lastfm api give user ability build program using lastfm data whether web desktop mobile device restful api allows read write access full slate lastfm music data resource album artist playlist event user allows user call method respond either xml json,True
1427,producteev,Producteev,producteev task management todo list application team individual connected email im twitter mobile iphone gmail google calendar soon many tool keep task synchronized,True
1439,imgur,Imgur,share photo using imgur api two option anonymous upload oauth upload connects photo account give app twice number uploads per hour,True
1445,backpack,Backpack,backpack webbased personal information manager small business application support usercreated page calendar feature usercreated page include todo list inline photo gallery note file attachment page sharing feature calendar include support icalendar emailsms reminder colorcoding calendar icalendar sharing,True
1495,dipity,Dipity,dipity api let put photo online life blog history timeline use stock photo create interactive timeline educates reader topic create mashup put news information timeline use api nearly everything normally dipity site,True
1507,shoutcast-radio,Shoutcast Radio,shoutcast maintains directory 32000 online radio station shoutcast radio api empowers developer integrate shoutcast radio directory website application internet audio device search popularity keyword genre bitrate playing,True
1531,echosign,Echosign,echosign document api allows third party integrate echosigns functionality application user generate document contract need electronic signature api integrate document flow improve sending tracking filing process,True
1561,touchtunes-jukebox,Touchtunes Jukebox,touchtunes interactive music entertainment platform network support portfolio locationbased digital solution featured 60000 bar restaurant north america touchtunes jukebox api provides access touchtunes outofhome digital music network allows developer use music data apps service could used find local touchtunes jukebox view recent activity browse catalog,True
1588,amazon-ec2,Amazon EC2,amazon elastic compute cloud amazon ec2 api web service enables launch manage linuxunix window server instance amazon data center giving user ability compute cloud provides user complete control computing resource let run amazon computing environment amazon ec2 change economics computing allowing user pay capacity actually used restbased api soap interface wa deprecated 1 december 2015 wsdl supported api version available following uri httpec2amazonawscomdocamazonec2wsdl,True
1630,5min,5min,use 5mincom api integrate 5min howto instructional knowledge video site widget application use videoseed api semantically attach video url get info usersvideos category,True
